add,value
安徽省安庆市大观区关岳庙街二监宿舍小区,8253.669922
安徽省安庆市怀宁县高河镇黄梅阁小区,6102.830078
安徽省安庆市怀宁县黄墩镇高楼村团结组,6241.330078
安徽省安庆市怀宁县凉亭乡双湖村庙兴组,6695
安徽省安庆市怀宁县凉亭乡双湖村珠林组,6695
安徽省安庆市怀宁县马庙镇鹿苑村双桂组,6605.25
安徽省安庆市怀宁县平山镇鸣凤村,8318.669922
安徽省安庆市怀宁县平山镇鸣凤村胜天组,8318.669922
安徽省安庆市怀宁县石牌镇广丰村新建组,8318.669922
安徽省安庆市怀宁县石牌镇广丰村中心组,7336.75
安徽省安庆市经开区景湖嘉苑小区,9073.830078
安徽省安庆市经开区菱北街道菱建小区,8837.419922
安徽省安庆市经开区菱北街道香樟里小区,9351.330078
安徽省安庆市潜山市梅城镇水岸江南B区,7670
安徽省安庆市潜山市源潭镇田墩新村,6358.419922
安徽省安庆市太湖县晋熙镇天高财富广场,8291.830078
安徽省安庆市太湖县小池镇中心村桥头组,7183.669922
安徽省安庆市太湖县新仓镇金鸡村蔡榜组,7234.080078
安徽省安庆市桐城市范岗镇棋盘岭村张老屋队,5186.75
安徽省安庆市桐城市龙眠街道碧桂园小区,5077.830078
安徽省安庆市桐城市龙眠街道黄燕村横排组,5670.580078
安徽省安庆市桐城市龙眠街道阅城国际小区,5578.25
安徽省安庆市桐城市双港镇潘赛村西瓜组,5275.169922
安徽省安庆市桐城市双港镇双港镇民畈村新民组,7566.419922
安徽省安庆市桐城市文昌街道公园社区粮食局宿舍,5185.169922
安徽省安庆市桐城市文昌街道石河村大隔组,5475.669922
安徽省安庆市桐城市新渡镇罗潭村罗潭组,5717.25
安徽省安庆市桐城市新渡镇双墩村合胜组,5395.830078
安徽省安庆市桐城市新渡镇永久村程西组,4975.75
安徽省安庆市望江县雷池乡沟口村先进组,7368.919922
安徽省安庆市望江县赛口镇兴龙村,8081.919922
安徽省安庆市望江县长岭镇后埠村同东屋,6992.419922
安徽省安庆市宿松县孚玉镇光明社区棉麻新居小区,6493.75
安徽省安庆市宿松县孚玉镇梨园新村小区,7116.169922
安徽省安庆市宿松县破凉镇雪镇村阳田组,8513
安徽省安庆市宿松县长铺镇马塘村余西组,8196.669922
安徽省安庆市宜秀区白泽湖乡大枫村大塘组,8067.75
安徽省安庆市宜秀区大龙山镇百华村何洼组,7204.330078
安徽省安庆市迎江区滨江街道碧桂园1号公园小区,8457.5
安徽省安庆市迎江区华中路街道御景国际小区,8741.919922
安徽省安庆市岳西县天堂镇城东社区小城宝邸小区,6773.330078
安徽省安庆市岳西县天堂镇阳光小区,7029.419922
安徽省蚌埠市蚌埠市高新区绿地世纪城社区伊顿公馆5栋,7183.419922
安徽省蚌埠市蚌埠市高新区文锦路社区方圆机电小区14栋,6850.169922
安徽省蚌埠市蚌埠市经开区胜利街道蓝天紫竹苑5栋,11192.09961
安徽省蚌埠市蚌埠市龙子湖区东升街道沁心苑小区3栋,8010.5
安徽省蚌埠市蚌埠市龙子湖区解放街道东方之星小区2栋,6437.25
安徽省蚌埠市蚌埠市龙子湖区解放街道淮秀园小区3栋,9204.5
安徽省蚌埠市蚌埠市禹会区钓鱼台街道车苑小区67栋,6551.330078
安徽省蚌埠市蚌埠市禹会区张公山街道丰原小区3栋,5901.919922
安徽省蚌埠市蚌山区昌南路万方新都会,7316.169922
安徽省蚌埠市蚌山区宏业村街道泷湖湾,8788.169922
安徽省蚌埠市蚌山区宏业村街道万达广场C区3号楼,7428.419922
安徽省蚌埠市蚌山区黄庄街道丰泽园小区4栋,7447.419922
安徽省蚌埠市蚌山区黄庄街道米亚花园,7995.919922
安徽省蚌埠市蚌山区黄庄街道水游城B区7栋,8395.169922
安徽省蚌埠市蚌山区黄庄街道新天地小区,6481.5
安徽省蚌埠市蚌山区青年街道大舞台小区1栋,5883.080078
安徽省蚌埠市蚌山区青年街道华利街9栋,6099.75
安徽省蚌埠市蚌山区青年街道同乐园小区8号楼,6518.830078
安徽省蚌埠市蚌山区青年街道中平街62栋,6218.330078
安徽省蚌埠市蚌山区纬二街道太平街296号,6171.580078
安徽省蚌埠市蚌山区纬二路街道阳光水岸,5974.919922
安徽省蚌埠市蚌山区燕山乡陶山家园北苑,6746.080078
安徽省蚌埠市高新区科苑社区嘉和豪庭1栋,6762.5
安徽省蚌埠市高新区绿地世纪城社区西绿地津桥公馆,7183.419922
安徽省蚌埠市高新区文锦路社区山水华庭小区32栋,7038.419922
安徽省蚌埠市固镇县新马桥镇高光村沟北组,6276.080078
安徽省蚌埠市怀远县荆山镇东方红小区B5号楼,5983.75
安徽省蚌埠市怀远县荆山镇健康小区5栋,6563.580078
安徽省蚌埠市淮上区淮滨街道上河时代北区,6749.830078
安徽省蚌埠市淮上区梅桥镇淝南村,5652.080078
安徽省蚌埠市淮上区吴小街镇通城紫都10栋,6737.919922
安徽省蚌埠市淮上区小蚌埠镇荷花园小区一期A5号楼,5733.419922
安徽省蚌埠市淮上区小蚌埠镇外滩花园20栋,6804.419922
安徽省蚌埠市经开区湖滨社区恒大御景湾,10533.09961
安徽省蚌埠市经开区湖滨社区湖畔花都,7324.830078
安徽省蚌埠市经开区湖滨社区兰庭书苑1栋,7170.919922
安徽省蚌埠市经开区湖滨社区天湖国际C区4栋,10051.09961
安徽省蚌埠市经开区淮河社区阿卡碧水湾小区,8761.419922
安徽省蚌埠市经开区淮河社区阿卡阳光苑6栋,8634.75
安徽省蚌埠市经开区淮河社区沁雅凯旋城19栋,8262.919922
安徽省蚌埠市经开区淮河社区香堤荣府,10481.59961
安徽省蚌埠市经开区淮河社区新新尚层,11023.7002
安徽省蚌埠市经开区龙湖街道迎宾山庄C区,7764.419922
安徽省蚌埠市经开区胜利街道百合公馆,10205.2002
安徽省蚌埠市经开区胜利街道财富广场南区2栋,10871.7998
安徽省蚌埠市经开区胜利街道大塘名门,9087.25
安徽省蚌埠市经开区胜利街道东航校小区25栋,9851.419922
安徽省蚌埠市经开区胜利街道华景家园,6509.25
安徽省蚌埠市经开区胜利街道金融小区,11164.2998
安徽省蚌埠市经开区胜利街道南苑小区,7113
安徽省蚌埠市经开区胜利街道万象幸福里,6680.080078
安徽省蚌埠市经开区长淮卫镇卫东村,6739.419922
安徽省蚌埠市龙子湖区东风街道0552大浴场,8773.25
安徽省蚌埠市龙子湖区东升街道东方新天地小区18栋,7373
安徽省蚌埠市龙子湖区东升街道凤阳东路480号东单元,8679.5
安徽省蚌埠市龙子湖区东升街道华阳淮畔小区7栋,6128.25
安徽省蚌埠市龙子湖区东升街道交通路186号,6699.169922
安徽省蚌埠市龙子湖区东升街道长淮路淮建一村10栋,6524.75
安徽省蚌埠市龙子湖区解放街道城市之光,7162.330078
安徽省蚌埠市龙子湖区解放街道东方明珠,7770.919922
安徽省蚌埠市龙子湖区解放街道广厦小区2栋,6522.169922
安徽省蚌埠市龙子湖区解放街道解放二路118号农行宿舍,6011.419922
安徽省蚌埠市龙子湖区解放街道金润名都,7187.669922
安徽省蚌埠市龙子湖区解放街道农资小区,4893.5
安徽省蚌埠市龙子湖区延安街道金珠苑小区2栋,8255.669922
安徽省蚌埠市龙子湖区延安街道隆华小区2栋,9920.419922
安徽省蚌埠市龙子湖区延安街道延安一村,7221.830078
安徽省蚌埠市龙子湖区延安街道中铁都市家园,10539.7002
安徽省蚌埠市龙子湖区治淮街道东苑小区,9184.419922
安徽省蚌埠市龙子湖区治淮街道淮河路854号,10368.7002
安徽省蚌埠市龙子湖区治淮街道延安三区,7539.080078
安徽省蚌埠市龙子湖区治淮街道长淮路270号水科新楼,6308.5
安徽省蚌埠市五河县城关镇城中嘉园,5302.169922
